"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","CO","Ozone","PM10","PM25","NO2"
"12/03/2009","63","PM2.5","San Francisco","06-075-0005","AQS","7","20","19","63","27"
"12/04/2009","87","PM2.5","San Francisco","06-075-0005","AQS","7","18",".","87","31"
"12/05/2009","60","PM2.5","San Francisco","06-075-0005","AQS","6","20",".","60","35"
"12/06/2009","50","PM2.5","San Francisco","06-075-0005","AQS","8","27",".","50","33"
"12/07/2009","31","PM2.5","San Francisco","06-075-0005","AQS","3","25",".","31","25"
"12/08/2009","52","PM2.5","San Francisco","06-075-0005","AQS","6","8",".","52","40"
"12/09/2009","68","PM2.5","San Francisco","06-075-0005","AQS","6","19","24","68","33"
"12/10/2009","85","PM2.5","San Francisco","06-075-0005","AQS","5","13",".","85","32"
"12/11/2009","66","PM2.5","San Francisco","06-075-0005","AQS","6","22",".","66","39"
"12/12/2009","37","Ozone","San Francisco","06-075-0005","AQS","5","37",".","27","16"
"12/13/2009","35","Ozone","San Francisco","06-075-0005","AQS","1","35",".","31","19"
"12/14/2009","54","PM2.5","San Francisco","06-075-0005","AQS","9","14",".","54","39"
"12/15/2009","47","PM2.5","San Francisco","06-075-0005","AQS","9","19","17","47","35"
"12/16/2009","54","PM2.5","San Francisco","06-075-0005","AQS","6","14",".","54","35"
"12/17/2009","61","PM2.5","San Francisco","06-075-0005","AQS",".","5",".","61","."
"12/18/2009","61","PM2.5","San Francisco","06-075-0005","AQS","14","8",".","61","43"
"12/19/2009","101","PM2.5","San Francisco","06-075-0005","AQS","14","9",".","101","22"
"12/20/2009","78","PM2.5","San Francisco","06-075-0005","AQS","5","12",".","78","25"
"12/21/2009","43","PM2.5","San Francisco","06-075-0005","AQS",".","33","12","43","28"
"12/22/2009","29","Ozone","San Francisco","06-075-0005","AQS","5","29",".","22","22"
"12/23/2009","47","NO2","San Francisco","06-075-0005","AQS","13","19",".","42","47"
"12/24/2009","62","PM2.5","San Francisco","06-075-0005","AQS","14","19",".","62","38"
"12/25/2009","88","PM2.5","San Francisco","06-075-0005","AQS","9","19",".","88","41"
"12/26/2009","83","PM2.5","San Francisco","06-075-0005","AQS","9","18",".","83","34"
"12/27/2009","65","PM2.5","San Francisco","06-075-0005","AQS","5","20","19","65","27"
"12/28/2009","38","PM2.5","San Francisco","06-075-0005","AQS","6","19",".","38","32"
"12/29/2009","54","PM2.5","San Francisco","06-075-0005","AQS","8","31",".","54","32"
"12/30/2009","42","PM2.5","San Francisco","06-075-0005","AQS","6","19",".","42","40"
"12/31/2009","62","PM2.5","San Francisco","06-075-0005","AQS","6","10",".","62","36"
